CM0000000201,05/02/2018,œ17.85
CM0000000202,07/02/2018,œ31.05
CM0000000204,12/01/2018,-œ24.65
CM0000000205,09/02/2018,-œ4.25
CM0000000207,12/02/2018,œ18.75
CM0000000208,13/02/2018,-œ61.85
CM000209,13/02/2018,-œ34.55
CM0000000210,14/02/2018,-œ19.73
CM0000000211,14/02/2018,œ45.80
CM0000000213,15/02/2018,-œ4.35
CM0000000214,15/02/2018,-œ24.85
CM0000000215,15/02/2018,œ3.25
CM0000000216,15/02/2018,-œ4.25
CM0000000217,16/02/2018,œ1.00
CM0000000218,17/02/2018,œ2.15
CM0000000219,17/02/2018,œ17.95
CM0000000220,06/02/2018,œ20.95
CM0000000221,19/02/2018,œ34.20
CM0000000222,19/02/2018,œ11.75
CM0000000223,22/02/2018,-œ54.45
CM0000000224,21/02/2018,œ12.35
CM0000000225,21/02/2018,œ77.85
CM0000000226,21/02/2018,œ29.40
CM0000000227,20/02/2018,-œ24.95
CM0000000228,21/02/2018,œ3.75
CM0000000230,23/02/2018,-œ3.75
CM0000000231,23/02/2018,œ33.25
CM0000000232,24/02/2018,œ5.80
CM0000000233,24/02/2018,œ16.20
CM0000000235,24/02/2018,œ35.85
CM0000000236,12/02/2018,œ8.10
CM0000000237,26/02/2018,-œ49.00
CM0000000238,27/02/2018,œ22.85
CM0000000240,01/03/2018,-œ3.85
CM0000000241,05/03/2018,œ27.05
CM0000000242,06/03/2018,œ4.26
CM0000000243,10/03/2018,œ38.00
CM0000000246,14/03/2018,œ39.75
CM0000000247,14/03/2018,œ5.35
CM0000000248,14/03/2018,œ105.60
CM0000000249,15/03/2018,œ45.85
CM0000000250,19/03/2018,œ58.05
CM0000000251,19/03/2018,-œ10.85
CM0000000252,20/03/2018,œ11.25
CM0000000253,21/03/2018,œ5.00
CM0000000254,21/03/2018,œ26.42
CM0000000255,21/03/2018,œ12.75
CM0000000258,25/03/2018,œ51.68
CM0000000259,01/04/2018,œ104.75
CM0000000260,01/04/2018,œ220.85
CM0000000261,02/04/2018,-œ3.55
CM0000000263,04/04/2018,œ10.20
CM0000000264,04/04/2018,œ7.65
CM0000000265,04/04/2018,-œ60.65
CM0000000266,05/04/2018,-œ21.95
CM0000000268,16/04/2018,-œ7.60
CM0000000269,26/04/2018,œ0.05
CM0000000270,03/05/2018,œ6.90
CM0000000271,08/05/2018,-œ26.40
CM0000000272,11/05/2018,-œ21.15
CM0000000273,19/10/2017,œ123.85
CM0000000274,19/10/2017,œ10.45
CM0000000275,13/05/2018,œ48.15
CM0000000276,16/05/2018,-œ23.80
CM0000000277,16/05/2018,-œ6.00
CM0000000278,17/05/2018,-œ6.65
CM0000000280,22/05/2018,-œ4.05
CM0000000281,16/06/2018,œ31.85
CM0000000282,19/06/2018,œ22.25
CM0000000283,24/06/2018,œ27.30
CM0000000284,26/06/2018,œ78.15
CM0000000285,02/07/2018,-œ10.40
CM0000000286,04/07/2018,-œ21.15
CM0000000287,10/07/2018,-œ58.80
CM0000000288,09/08/2018,œ23.37
CM0000000289,09/08/2018,œ2.00
CM0000000291,20/03/2018,œ1.80
CM000293,29/09/2018,œ91.35
CM0000000294,19/09/2018,œ7.70
CM0000000295,05/10/2018,œ19.40
CM0000000296,08/10/2018,œ4.30
CM0000000297,20/10/2018,œ38.25
CM0000000298,13/09/2018,œ45.45
CM0000000299,22/10/2018,œ29.10
CM0000000300,20/01/2018,-œ56.20
CM0000000302,13/04/2018,œ25.85
CM0000000303,16/01/2018,œ4.10
CM0000000304,14/09/2017,-œ71.75
CM0000000305,14/09/2017,-œ71.75
CM0000000306,12/01/2018,œ0.00
CM0000000307,26/09/2018,œ85.57
CM0000000308,12/07/2018,œ29.96
CM0000000309,13/02/2018,œ8.11
CM0000000310,20/01/2019,œ5.70
CM0000000311,25/10/2018,-œ1.55
CM0000000312,21/01/2018,œ8.80
CM0000000313,19/10/2017,œ75.85
CM000315,18/01/2018,-œ76.20
CM0000000316,27/01/2018,œ0.60
CM0000000317,03/10/2017,œ24.15
CM000318,23/10/2018,œ6.45
CM0000000319,28/10/2018,œ66.25
CM0000000320,04/11/2018,œ0.00
CM0000000321,09/11/2018,œ6.05
CM0000000322,11/11/2018,-œ14.67
CM0000000323,10/11/2018,œ62.87
CM0000000324,13/11/2018,-œ13.95
CM0000000325,15/11/2018,-œ1.96
CM0000000326,18/11/2018,-œ20.35
CM0000000327,18/11/2018,-œ15.75
CM0000000328,19/11/2018,œ12.80
CM0000000329,20/11/2018,œ89.55
CM0000000330,24/11/2018,-œ4.25
CM0000000331,24/11/2018,-œ0.15
CM0000000332,23/11/2018,œ60.55
CM0000000333,26/11/2018,-œ2.15
CM0000000334,26/11/2018,œ4.25
CM0000000335,13/11/2018,-œ62.15
CM0000000337,03/12/2018,œ8.30
CM0000000338,01/12/2018,œ0.15
CM0000000339,04/12/2018,œ18.50
CM0000000340,04/12/2018,œ1.95
CM0000000341,04/12/2018,œ27.35
CM0000000342,04/12/2018,-œ31.35
CM0000000344,06/12/2018,œ6.90
CM0000000345,05/12/2018,œ13.10
CM0000000346,10/12/2018,œ45.05
CM0000000347,13/12/2018,-œ11.20
CM0000000348,14/12/2018,-œ25.45
CM0000000349,03/01/2019,-œ8.75
CM0000000349,22/12/2018,-œ62.15
